"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName"
"BYU",2897,NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pygiopsyllidae","Acanthopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Acanthopsylla"
"BYU",2898,NA,NA,NA,NA,NA,NA,NA,"Acedestia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Acedestia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Doratopsyllinae","Acedestia"
"BYU",2899,NA,NA,NA,NA,NA,NA,NA,"Aconothobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Aconothobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Aconothobius"
"BYU",2900,NA,NA,NA,NA,NA,NA,NA,"Acropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Acropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Acropsylla"
"BYU",2901,NA,NA,NA,NA,NA,NA,NA,"Actenopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Actenopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Actenopsylla"
"BYU",2902,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Adoratopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Doratopsyllinae","Adoratopsylla"
"BYU",2903,NA,NA,NA,NA,NA,NA,NA,"Aenigmopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Aenigmopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Aenigmopsylla"
"BYU",2904,NA,NA,NA,NA,NA,NA,NA,"Aetheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Aetheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Aetheca"
"BYU",2905,NA,NA,NA,NA,NA,NA,NA,"Afristivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Afristivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Afristivalius"
"BYU",2906,NA,NA,NA,NA,NA,NA,NA,"Agastopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Agastopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Agastopsylla"
"BYU",2907,NA,NA,NA,NA,NA,NA,NA,"Alectopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Alectopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Alectopsylla"
"BYU",2908,NA,NA,NA,NA,NA,NA,NA,"Allopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Allopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Allopsylla"
"BYU",2909,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amalaraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Amalaraeus"
"BYU",2910,NA,NA,NA,NA,NA,NA,NA,"Amaradix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amaradix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Amaradix"
"BYU",2911,NA,NA,NA,NA,NA,NA,NA,"Amonopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amonopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Amonopsyllus"
"BYU",2912,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Amphalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Amphalius"
"BYU",2913,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Amphipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Amphipsylla"
"BYU",2914,NA,NA,NA,NA,NA,NA,NA,"Ancistropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ancistropsyllidae","Ancistropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Ancistropsylloidea",NA,"Ancistropsylla"
"BYU",2915,NA,NA,NA,NA,NA,NA,NA,"Anomiopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Anomiopsyllinae","Anomiopsyllus"
"BYU",2916,NA,NA,NA,NA,NA,NA,NA,"Aphropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Aphropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Aphropsylla"
"BYU",2917,NA,NA,NA,NA,NA,NA,NA,"Araeopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Araeopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Araeopsylla"
"BYU",2918,NA,NA,NA,NA,NA,NA,NA,"Archaeopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Archaeopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Archaeopsylla"
"BYU",2919,NA,NA,NA,NA,NA,NA,NA,"Astivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Astivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Astivalius"
"BYU",2920,NA,NA,NA,NA,NA,NA,NA,"Atopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Atopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea",NA,"Atopsyllus"
"BYU",2921,NA,NA,NA,NA,NA,NA,NA,"Atyphloceras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Hystrichopsyllidae","Atyphloceras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Hystrichopsyllinae","Atyphloceras"
"BYU",2922,NA,NA,NA,NA,NA,NA,NA,"Austropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pygiopsyllidae","Austropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Austropsylla"
"BYU",2923,NA,NA,NA,NA,NA,NA,NA,"Aviostivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Aviostivalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Aviostivalius"
"BYU",2924,NA,NA,NA,NA,NA,NA,NA,"Baculomeris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Baculomeris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Baculomeris"
"BYU",2925,NA,NA,NA,NA,NA,NA,NA,"Barreropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Barreropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Craneopsyllinae","Barreropsylla"
"BYU",2926,NA,NA,NA,NA,NA,NA,NA,"Bibikovana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pygiopsyllidae","Bibikovana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Bibikovana"
"BYU",2927,NA,NA,NA,NA,NA,NA,NA,"Brachyctenonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Brachyctenonotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Brachyctenonotus"
"BYU",2928,NA,NA,NA,NA,NA,NA,NA,"Bradiopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Lycopsyllidae","Bradiopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Bradiopsylla"
"BYU",2929,NA,NA,NA,NA,NA,NA,NA,"Brevictenidia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Brevictenidia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Brevictenidia"
"BYU",2930,NA,NA,NA,NA,NA,NA,NA,"Caenopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Caenopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Caenopsylla"
"BYU",2931,NA,NA,NA,NA,NA,NA,NA,"Calceopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Calceopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Calceopsylla"
"BYU",2932,NA,NA,NA,NA,NA,NA,NA,"Callistopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Callistopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Anomiopsyllinae","Callistopsyllus"
"BYU",2933,NA,NA,NA,NA,NA,NA,NA,"Callopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Callopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Callopsylla"
"BYU",2934,NA,NA,NA,NA,NA,NA,NA,"Carteretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Carteretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Carteretta"
"BYU",2935,NA,NA,NA,NA,NA,NA,NA,"Catallagia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Catallagia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae","Catallagia"
"BYU",2936,NA,NA,NA,NA,NA,NA,NA,"Cediopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Cediopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Spilopsyllinae","Cediopsylla"
"BYU",2937,NA,NA,NA,NA,NA,NA,NA,"Centetipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Centetipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Archaeopsyllinae","Centetipsylla"
"BYU",2938,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Ceratophyllus"
"BYU",2939,NA,NA,NA,NA,NA,NA,NA,"Chaetopsylla  0",NA,NA,NA,NA,NA,1903,NA,NA,NA,NA,"Siphonaptera","Vermipsyllidae","Chaetopsylla",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"Pulicomorpha","Vermipsylloidea",NA,"Chaetopsylla"
"BYU",2940,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Chimaeropsyllidae","Chiastopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Chiastopsyllinae","Chiastopsylla"
"BYU",2941,NA,NA,NA,NA,NA,NA,NA,"Chiliopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Chiliopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Chiliopsylla"
"BYU",2942,NA,NA,NA,NA,NA,NA,NA,"Chimaeropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Chimaeropsyllidae","Chimaeropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Chimaeropsyllinae","Chimaeropsylla"
"BYU",2943,NA,NA,NA,NA,NA,NA,NA,"Chinghaipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Chinghaipsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Chinghaipsylla"
"BYU",2944,NA,NA,NA,NA,NA,NA,NA,"Chiropteropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Chiropteropsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Chiropteropsylla"
"BYU",2945,NA,NA,NA,NA,NA,NA,NA,"Choristopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pygiopsyllidae","Choristopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Choristopsylla"
"BYU",2946,NA,NA,NA,NA,NA,NA,NA,"Citellophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Citellophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Citellophilus"
"BYU",2947,NA,NA,NA,NA,NA,NA,NA,"Cleopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Cleopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Craneopsyllinae","Cleopsylla"
"BYU",2948,NA,NA,NA,NA,NA,NA,NA,"Conorhinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Conorhinopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Anomiopsyllinae","Conorhinopsylla"
"BYU",2949,NA,NA,NA,NA,NA,NA,NA,"Conothobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Conothobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Conothobius"
"BYU",2950,NA,NA,NA,NA,NA,NA,NA,"Coorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Coorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Coorilla"
"BYU",2951,NA,NA,NA,NA,NA,NA,NA,"Coptopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Coptopsyllidae","Coptopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Coptopsylloidea",NA,"Coptopsylla"
"BYU",2952,NA,NA,NA,NA,NA,NA,NA,"Coronapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Coronapsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Stephanocircinae","Coronapsylla"
"BYU",2953,NA,NA,NA,NA,NA,NA,NA,"Corrodopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Corrodopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Doratopsyllinae","Corrodopsylla"
"BYU",2954,NA,NA,NA,NA,NA,NA,NA,"Corypsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Corypsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae","Corypsylla"
"BYU",2955,NA,NA,NA,NA,NA,NA,NA,"Craneopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Craneopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Craneopsyllinae","Craneopsylla"
"BYU",2956,NA,NA,NA,NA,NA,NA,NA,"Cratynius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Cratynius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Leptopsyllinae","Cratynius"
"BYU",2957,NA,NA,NA,NA,NA,NA,NA,"Cryptopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Chimaeropsyllidae","Cryptopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Chiastopsyllinae","Cryptopsylla"
"BYU",2958,NA,NA,NA,NA,NA,NA,NA,"Ctenidiosomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Stivaliidae","Ctenidiosomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsyllomorpha","Pygiopsylloidea",NA,"Ctenidiosomus"
"BYU",2959,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Ctenocephalides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Ctenocephalides"
"BYU",2960,NA,NA,NA,NA,NA,NA,NA,"Ctenoparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Hystrichopsyllidae","Ctenoparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Hystrichopsyllinae","Ctenoparia"
"BYU",2961,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae","Ctenophthalmus"
"BYU",2962,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea",NA,"Ctenophthalmus"
"BYU",2963,NA,NA,NA,NA,NA,NA,NA,"Ctenophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Ctenophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Ctenophyllus"
"BYU",2964,NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Dactylopsyllinae","Dactylopsylla"
"BYU",2965,NA,NA,NA,NA,NA,NA,NA,"Dampfia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Dampfia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ischnopsyllinae","Dampfia"
"BYU",2966,NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ceratophyllidae","Dasypsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Ceratophyllinae","Dasypsyllus"
"BYU",2967,NA,NA,NA,NA,NA,NA,NA,"Delopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Delopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Delopsylla"
"BYU",2968,NA,NA,NA,NA,NA,NA,NA,"Delostichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Rhopalopsyllidae","Delostichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Malacopsylloidea","Parapsyllinae","Delostichus"
"BYU",2969,NA,NA,NA,NA,NA,NA,NA,"Delotelis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Delotelis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae","Delotelis"
"BYU",2970,NA,NA,NA,NA,NA,NA,NA,"Demeillionia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Chimaeropsyllidae","Demeillionia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Epirimiinae","Demeillionia"
"BYU",2971,NA,NA,NA,NA,NA,NA,NA,"Desertopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Desertopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Desertopsylla"
"BYU",2972,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Dinopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Dinopsyllinae","Dinopsyllus"
"BYU",2973,NA,NA,NA,NA,NA,NA,NA,"Dolichopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Dolichopsyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae","Dolichopsyllus"
"BYU",2974,NA,NA,NA,NA,NA,NA,NA,"Doratopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Doratopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Doratopsyllinae","Doratopsylla"
"BYU",2975,NA,NA,NA,NA,NA,NA,NA,"Dorcadia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Vermipsyllidae","Dorcadia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Vermipsylloidea",NA,"Dorcadia"
"BYU",2976,NA,NA,NA,NA,NA,NA,NA,"Echidnophaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Echidnophaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea","Pulicinae","Echidnophaga"
